date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:57:05	335293/335293	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jun%202023%2013:20:56%20GMT	https://courses.ankurwarikoo.com/communication-fb/	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/communication-fb/index.html	(from )
00:57:05	117/117	---M-Z	200	added ('OK')	text/plain	date:Wed,%2014%20Jun%202023%2019:27:05%20GMT	https://courses.ankurwarikoo.com/robots.txt		(from )
00:57:06	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:05%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6mxc84di/9wnkn.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6mxc84di/9wnkn.0.delayed	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:07%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/12xvcyj9/9wnkn.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/12xvcyj9/9wnkn.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:07	88661/88661	---MCZ	200	added ('OK')	text/css	etag:W/%2215a33-64868f0f-481b14b;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6mxc84di/9wnkn.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6mxc84di/9wnkn.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:07%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/kcy1pshb/9wnkn.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/kcy1pshb/9wnkn.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:07	499145/499145	---MCZ	200	added ('OK')	text/css	etag:W/%2279615-64868f0f-443e54e;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/12xvcyj9/9wnkn.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/12xvcyj9/9wnkn.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:07	17925/17925	---MCZ	200	added ('OK')	text/css	etag:W/%224606-64868f0f-1b87fed;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/kcy1pshb/9wnkn.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/kcy1pshb/9wnkn.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:07%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/964orahy/9wnkn.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/964orahy/9wnkn.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:09%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/lkug12qv/9wnkn.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/lkug12qv/9wnkn.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:09	7042/7042	---MCZ	200	added ('OK')	text/css	etag:W/%221b82-64868f0f-14c03e9;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/964orahy/9wnkn.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/964orahy/9wnkn.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:09	64035/64035	---MCZ	200	added ('OK')	text/css	etag:W/%22fa2c-64868f0f-126066b;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/lkug12qv/9wnkn.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/lkug12qv/9wnkn.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:09%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6yplxhnj/9wnkn.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6yplxhnj/9wnkn.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:10	277033/277033	---MCZ	200	added ('OK')	text/css	etag:W/%2243bc0-64868f0f-c02f69;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6yplxhnj/9wnkn.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/6yplxhnj/9wnkn.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:12	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jun%202023%2019:27:11%20GMT	http://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/jme9r7lo/9wnkn.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/jme9r7lo/9wnkn.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:12	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2224d3-629f2db6-281cf10;;;%22	https://courses.ankurwarikoo.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:12	183047/183047	---MCZ	200	added ('OK')	text/css	etag:W/%222c878-64868f0f-b4005ae;gz%22	https://courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/jme9r7lo/9wnkn.css	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/cache/wpfc-minified/jme9r7lo/9wnkn.css	(from https://courses.ankurwarikoo.com/communication-fb/)
00:57:12	1524/1524	---MCZ	200	added ('OK')	text/css	etag:W/%2260b-648692d0-6c21501;gz%22	https://courses.ankurwarikoo.com/wp-content/uploads/elementor/css/post-1411.css?ver=1686541008	C:/My%20Web%20Sites/course/courses.ankurwarikoo.com/wp-content/uploads/elementor/css/post-14116885.css	(from https://courses.ankurwarikoo.com/communication-fb/)
